"lad_code","local_authority","region","life_expectancy","population","deprived"
"E06000042","Milton Keynes","South East","81.83","298270","0.487"
"E06000043","Brighton and Hove","South East","81.23","279637","0.521"
"E06000044","Portsmouth","South East","80.54","210297","0.528"
"E06000045","Southampton","South East","80.02","256110","0.546"
"E06000046","Isle of Wight","South East","81.35","140906","0.559"
"E06000047","County Durham","North East","79.48","532182","0.555"
"E06000049","Cheshire East","North West","81.74","412458","0.452"
"E06000050","Cheshire West and Chester","North West","81.33","365061","0.480"
"E06000051","Shropshire","West Midlands","82.23","329260","0.492"
"E06000052","Cornwall","South West","81.47","578324","0.539"
"E06000054","Wiltshire","South West","82.79","517979","0.466"
"E06000055","Bedford","East of England","81.71","189891","0.484"
"E06000056","Central Bedfordshire","East of England","82.60","308302","0.452"
"E06000057","Northumberland","North East","80.87","327055","0.515"
"E06000058","Bournemouth, Christchurch and Poole","South West","81.60","404050","0.517"
"E06000059","Dorset","South West","82.79","384809","0.501"
"E06000060","Buckinghamshire","South East","83.42","566694","0.428"
"E06000061","North Northamptonshire","East Midlands","80.23","367991","0.512"
"E06000062","West Northamptonshire","East Midlands","81.22","434349","0.482"
"E06000063","Cumberland","North West","79.36","276876","0.519"
"E06000064","Westmorland and Furness","North West","81.63","228187","0.482"
"E06000065","North Yorkshire","Yorkshire and The Humber","82.00","627629","0.467"
"E06000066","Somerset","South West","81.87","581145","0.500"
"E07000008","Cambridge","East of England","82.05","149963","0.435"
"E07000009","East Cambridgeshire","East of England","83.00","91466","0.466"
"E07000010","Fenland","East of England","79.60","103537","0.583"
"E07000011","Huntingdonshire","East of England","82.81","186066","0.464"
"E07000012","South Cambridgeshire","East of England","84.03","168541","0.416"
"E07000032","Amber Valley","East Midlands","80.69","127709","0.511"
"E07000033","Bolsover","East Midlands","79.23","82829","0.573"
"E07000034","Chesterfield","East Midlands","79.78","104883","0.553"
"E07000035","Derbyshire Dales","East Midlands","82.75","71530","0.471"
"E07000036","Erewash","East Midlands","80.34","113844","0.520"
"E07000037","High Peak","East Midlands","81.42","91569","0.479"
"E07000038","North East Derbyshire","East Midlands","82.24","105035","0.530"
"E07000039","South Derbyshire","East Midlands","81.53","114050","0.457"
"E07000040","East Devon","South West","83.43","156167","0.493"
"E07000041","Exeter","South West","81.26","137050","0.502"
"E07000042","Mid Devon","South West","82.18","84148","0.509"
"E07000043","North Devon","South West","80.55","100543","0.521"
"E07000044","South Hams","South West","83.96","90842","0.470"
"E07000045","Teignbridge","South West","83.50","137074","0.506"
"E07000046","Torridge","South West","82.05","68830","0.539"
"E07000047","West Devon","South West","82.20","58754","0.507"
"E07000061","Eastbourne","South East","80.98","103796","0.568"
"E07000062","Hastings","South East","79.36","90817","0.580"
"E07000063","Lewes","South East","82.16","101356","0.521"
"E07000064","Rother","South East","82.16","94862","0.543"
"E07000065","Wealden","South East","83.72","164653","0.475"
"E07000066","Basildon","East of England","81.28","190544","0.538"
"E07000067","Braintree","East of England","80.98","159957","0.500"
"E07000068","Brentwood","East of England","83.53","78152","0.445"
"E07000069","Castle Point","East of England","82.11","89858","0.562"
"E07000070","Chelmsford","East of England","82.44","185278","0.454"
"E07000071","Colchester","East of England","81.92","196998","0.486"
"E07000072","Epping Forest","East of England","82.74","135975","0.489"
"E07000073","Harlow","East of England","79.99","96040","0.571"
"E07000074","Maldon","East of England","82.51","68327","0.504"
"E07000075","Rochford","East of England","81.86","88188","0.506"
"E07000076","Tendring","East of England","79.45","153207","0.617"
"E07000077","Uttlesford","East of England","84.06","93594","0.420"
"E07000078","Cheltenham","South West","81.72","120255","0.438"
"E07000079","Cotswold","South West","83.17","91490","0.430"
"E07000080","Forest of Dean","South West","81.33","89104","0.519"
"E07000081","Gloucester","South West","80.20","134991","0.511"
"E07000082","Stroud","South West","82.41","124540","0.448"
"E07000083","Tewkesbury","South West","83.58","98896","0.449"
"E07000084","Basingstoke and Deane","South East","83.13","190198","0.450"
"E07000085","East Hampshire","South East","83.23","128440","0.430"
"E07000086","Eastleigh","South East","83.30","140950","0.448"
"E07000087","Fareham","South East","83.00","114155","0.454"
"E07000088","Gosport","South East","80.42","82385","0.540"
"E07000089","Hart","South East","84.40","101542","0.393"
"E07000090","Havant","South East","81.81","125682","0.545"
"E07000091","New Forest","South East","83.52","175398","0.486"
"E07000092","Rushmoor","South East","81.77","102908","0.489"
"E07000093","Test Valley","South East","83.03","134461","0.443"
"E07000094","Winchester","South East","83.67","132440","0.417"
"E07000095","Broxbourne","East of England","82.71","100042","0.535"
"E07000096","Dacorum","East of England","82.39","157827","0.461"
"E07000098","Hertsmere","East of England","82.89","108993","0.481"
"E07000099","North Hertfordshire","East of England","82.61","135596","0.449"
"E07000102","Three Rivers","East of England","82.37","94693","0.447"
